driver_id,name,phone,city,zone_id,vehicle_type,joining_date,account_age_days,is_active,kyc_status,aadhaar_verified,dl_verified,dl_expired,vehicle_rc_verified,bank_account_verified,bank_account_type,trips_last_30d,completion_rate_30d,cancel_rate_30d,dispute_rate_30d,cash_trip_ratio_30d,avg_rating_30d,night_trip_ratio_30d,avg_fare_30d,avg_distance_30d,total_trips_lifetime,monthly_earnings_avg,churn_risk,shared_device_flag,duplicate_account_flag,document_mismatch_flag,fraud_ring_id,ring_role
350fcc4b-489b-4a55-8ba8-4f8ea9991702,Rohan Murthy,+918672597239,bangalore,blr_rajajinagar,mini_truck,2023-12-07,868,True,unverified,True,False,False,False,True,bank,39,0.9474,0.0026,0.0025,0.1839,4.42,0.0975,711.21,26.33,2757,23904.99,0.1534,False,False,True,,
c063577e-fe52-491c-83f1-03c71cc106f2,Raja Ansari,+917815700652,bangalore,blr_bannerghatta,two_wheeler,2022-11-09,1261,True,verified,True,True,False,True,True,upi,62,0.9442,0.0058,0.0012,0.2255,4.47,0.1597,116.08,8.38,1536,2198.93,0.2103,False,False,False,,
e0da0109-fc0d-4dd5-89ac-54aebf552336,Vinod Chatterjee,+919590411530,bangalore,blr_electronic_city,truck_17ft,2026-01-06,107,True,verified,True,True,False,True,True,upi,30,0.9342,0.0158,0.0008,0.2243,4.18,0.0497,1181.99,20.66,67,14745.84,0.0858,False,False,False,,
b613960d-89f1-4956-93e1-5f0b330f4ff3,Kumar Tiwari,+919501895171,bangalore,blr_koramangala,two_wheeler,2024-02-25,788,True,verified,True,True,False,True,True,upi,60,0.9481,0.0019,0.0039,0.1238,4.44,0.0223,57.76,4.26,2239,6210.55,0.2681,False,False,False,,
89ecc3aa-5ba7-4b91-9ccd-520ba266557a,Selvam Shetty,+918583792433,bangalore,blr_btm,three_wheeler,2024-11-20,519,True,verified,True,True,False,True,True,upi,110,0.9383,0.0117,0.0025,0.135,3.82,0.0021,231.36,15.87,1441,10972.81,0.1093,False,False,False,,
320ff8fa-a94f-42d1-94ab-bace3b2bebf8,Harish Naidu,+918277275771,bangalore,blr_koramangala,three_wheeler,2022-08-03,1359,True,verified,True,True,False,True,True,bank,34,0.939,0.011,0.0014,0.2386,4.41,0.0286,133.52,9.2,1772,6614.59,0.214,False,False,False,,
9eaa6411-3dba-4722-a0e2-822ef3f58310,Babu Kulkarni,+919168949449,bangalore,blr_rajajinagar,mini_truck,2020-05-01,2183,True,verified,True,True,False,True,True,upi,74,0.926,0.024,0.0005,0.1321,4.7,0.0325,642.71,17.81,4825,15599.13,0.1226,False,False,False,,
4102c705-ea0e-465e-8d1b-182c83cb2109,Basavaraj Mehta,+917996049564,bangalore,blr_yeshwanthpur,three_wheeler,2021-12-19,1586,True,verified,True,True,False,True,True,upi,46,0.9328,0.0172,0.0013,0.196,4.91,0.0393,157.98,6.64,4389,11776.05,0.145,False,False,False,,
eb0a4e01-8b73-4df3-9499-5a60e70a2345,Basavaraj Garg,+919721719964,bangalore,blr_yeshwanthpur,two_wheeler,2022-07-09,1384,False,verified,True,True,True,True,True,bank,108,0.6025,0.3475,0.0644,0.3888,2.78,0.3791,38.57,2.22,2990,4436.98,0.4621,False,False,False,,
67483b94-1176-4e35-a3aa-d06ffbb524d4,Shivakumar Yadav,+919684853458,bangalore,blr_marathahalli,three_wheeler,2026-01-24,89,True,unverified,False,True,False,True,True,bank,99,0.9455,0.0045,0.0003,0.1817,4.38,0.0224,96.51,5.94,337,21994.52,0.2032,False,False,False,,
cdc65d94-9226-4ef0-b10b-4dcb67ebba86,Salman Agarwal,+919879707421,bangalore,blr_electronic_city,two_wheeler,2023-07-25,1003,True,verified,True,True,False,True,True,cash,96,0.9276,0.0224,0.0011,0.2701,3.97,0.0647,63.38,6.87,2493,4811.53,0.2459,False,False,False,,
8d6eaf18-ab76-457a-b470-cd26d2bc6ab1,Sunil Shukla,+919375409104,bangalore,blr_indiranagar,mini_truck,2022-03-12,1503,True,verified,True,True,True,True,True,upi,62,0.8896,0.0604,0.0004,0.1518,4.17,0.0135,508.13,18.2,4902,17677.92,0.0609,False,False,False,,
620891b3-43f2-4c13-a41e-5a3e3241fbeb,Mukesh Babu,+917337460980,bangalore,blr_btm,two_wheeler,2022-04-01,1483,True,verified,True,True,False,True,True,upi,69,0.9298,0.0202,0.0004,0.1686,3.94,0.0059,82.62,11.95,1931,2526.8,0.2641,False,False,False,,
84fff1ab-a5df-4f25-8656-1d0fa87d8574,Ibrahim Patil,+917740402236,bangalore,blr_koramangala,two_wheeler,2023-01-14,1195,True,unverified,True,True,False,True,True,upi,88,0.9461,0.0039,0.0016,0.1318,4.3,0.018,119.34,10.24,4182,8566.17,0.1318,True,False,False,,
d75b94a9-dcb8-4995-96c1-6a5008b54f0a,Vinod Kumar,+918248938981,bangalore,blr_bannerghatta,mini_truck,2025-08-25,241,True,verified,True,True,False,True,True,upi,49,0.934,0.016,0.0034,0.2771,4.57,0.0329,416.48,14.94,361,13037.34,0.0107,True,False,False,,
6b35d930-fd71-4f8b-8776-a496fada3b97,Lokesh Joshi,+919855127687,bangalore,blr_marathahalli,three_wheeler,2023-04-19,1100,True,verified,True,True,False,True,True,bank,61,0.9475,0.0025,0.0027,0.1461,4.39,0.0212,238.46,17.4,887,2435.47,0.2515,False,False,False,,
e19d5a1c-864d-4a6f-8b10-ccc3be1505d7,Satish Shaikh,+918954775860,bangalore,blr_rajajinagar,two_wheeler,2025-02-19,428,True,pending,True,True,False,True,True,cash,78,0.9379,0.0121,0.0005,0.1605,4.15,0.0561,75.13,9.49,1298,5771.05,0.2471,False,False,False,,
15f7ab20-aa7d-44b9-a7e9-31905b8aae49,Ashok Hegde,+916978080340,bangalore,blr_koramangala,three_wheeler,2023-07-27,1001,True,verified,True,True,True,True,True,upi,62,0.9495,0.0005,0.0039,0.2312,3.97,0.0086,80.0,1.5,1835,6967.12,0.2519,False,False,False,,
87b2e902-feb3-42eb-a797-66496f2ffc72,Rajan Iyer,+918571625427,bangalore,blr_whitefield,two_wheeler,2021-05-16,1803,True,verified,True,True,False,True,True,bank,99,0.6759,0.2741,0.01,0.3178,4.19,0.2236,39.37,1.42,3256,4133.42,0.2417,False,False,False,,
efd73e6f-101d-42dd-a55f-b2f3afc2bb92,Rakesh Bhat,+918842912513,bangalore,blr_btm,two_wheeler,2022-07-29,1364,True,unverified,True,False,True,True,True,upi,56,0.9343,0.0157,0.0012,0.0217,4.41,0.0033,122.76,12.8,5857,9622.83,0.1808,False,False,True,,
a67c895f-207d-44df-ba7b-316422ca67ed,Suresh Menon,+918102077895,bangalore,blr_whitefield,truck_17ft,2020-10-19,2012,True,verified,True,True,True,True,True,upi,84,0.9254,0.0246,0.0023,0.204,4.44,0.0043,1534.28,18.72,4542,56678.94,0.174,False,False,False,,
fe617474-9e82-4412-8ea6-cb7161aeca80,Vinod Bhat,+919605637036,bangalore,blr_btm,mini_truck,2021-05-31,1788,True,verified,True,True,False,True,True,upi,72,0.9267,0.0233,0.002,0.1133,4.73,0.0303,430.58,14.08,5356,25741.47,0.1205,False,False,False,,
cd8c6e29-c8fa-4b57-89c8-0906588fb88c,Kiran Murthy,+918649054433,bangalore,blr_indiranagar,two_wheeler,2026-02-08,74,True,expired,True,True,False,True,True,upi,67,0.9123,0.0377,0.0002,0.1336,4.14,0.043,132.67,8.38,103,3763.98,0.4706,False,False,False,,
f3018614-10f9-4178-9387-d28bdad0b373,Ashok Bhat,+917296970947,bangalore,blr_hsr,mini_truck,2025-02-18,429,True,verified,True,True,False,True,True,bank,73,0.9306,0.0194,0.0008,0.1483,4.73,0.0349,345.0,13.14,542,11180.14,0.0702,False,False,False,,
4af8c60f-7751-40b3-9a24-e142e9a7998a,Naveen Shaikh,+916992837803,bangalore,blr_koramangala,truck_17ft,2023-11-21,884,True,verified,True,True,False,True,True,upi,73,0.9281,0.0219,0.0014,0.2504,4.55,0.1063,2647.42,45.42,1954,63370.45,0.1225,True,False,False,,
6a6dcc9c-ccfc-4782-a12f-c60272858db8,Selvam Ghosh,+916131354515,bangalore,blr_hsr,mini_truck,2025-07-28,269,True,verified,True,True,False,True,True,bank,85,0.943,0.007,0.0011,0.1802,4.82,0.0011,516.05,19.31,891,31454.92,0.1481,False,False,False,,
504550ec-7ce6-471c-8bd7-3faec171662d,Umesh Gowda,+919453626358,bangalore,blr_btm,truck_14ft,2024-05-25,698,True,verified,True,True,False,True,True,bank,55,0.9479,0.0021,0.0061,0.1179,3.73,0.0308,1531.78,34.08,1978,43624.81,0.26,False,True,False,,
c36ca4f4-7ccb-424d-8f1e-0262564a979f,Ravi Desai,+918905060346,bangalore,blr_btm,three_wheeler,2020-12-14,1956,True,verified,True,True,True,True,True,cash,53,0.8782,0.0718,0.0014,0.1537,4.43,0.0378,334.28,20.0,6277,12525.19,0.0643,False,False,False,,
e537061c-e068-44bd-a564-54322174d70e,Ramesh Mishra,+917657612329,bangalore,blr_marathahalli,two_wheeler,2024-05-20,703,True,pending,True,False,False,True,True,cash,97,0.9164,0.0336,0.0139,0.1977,4.06,0.0279,82.62,4.5,1458,5393.14,0.2294,False,False,True,,
69e05170-ce7b-4325-9167-49b009781562,Kiran Naidu,+917505941849,bangalore,blr_electronic_city,three_wheeler,2023-02-23,1155,True,verified,True,True,False,True,True,upi,100,0.9104,0.0396,0.001,0.1738,4.05,0.0444,198.72,9.02,2311,8477.6,0.181,False,False,False,,
1bf5ec8f-7578-482d-bba9-83b3ed074c9d,Deepak Das,+916866930802,bangalore,blr_whitefield,three_wheeler,2022-07-03,1390,True,pending,True,False,True,True,True,upi,51,0.9498,0.0002,0.0017,0.1829,3.67,0.0548,161.82,16.45,3088,7647.97,0.4162,False,False,True,,
18839607-720b-4903-b6aa-bcb9646c8135,Imran Shukla,+916121573319,bangalore,blr_bannerghatta,three_wheeler,2022-07-30,1363,True,verified,True,True,False,True,True,upi,84,0.9331,0.0169,0.0012,0.122,4.56,0.0239,309.74,20.0,2537,8240.93,0.0737,False,False,False,,
9891ebdf-97fc-46e8-b793-05dce1cd9751,Mohammed Singh,+916735217302,bangalore,blr_whitefield,two_wheeler,2025-06-25,302,True,unverified,False,True,False,True,True,upi,79,0.8494,0.1006,0.01,0.2673,4.33,0.2588,48.87,2.38,843,6762.22,0.2646,False,False,False,,
38298d8d-c7fe-4470-a884-04fb4ca4cffa,Kiran Patil,+917510763471,bangalore,blr_jayanagar,two_wheeler,2023-07-14,1014,True,verified,True,True,True,True,True,bank,61,0.9419,0.0081,0.0003,0.1701,4.47,0.0075,85.84,5.97,2742,6686.69,0.2757,False,False,False,,
3527fafe-6078-41b0-a2fd-5c897292af7b,Basavaraj Dubey,+918953958795,bangalore,blr_hsr,two_wheeler,2022-06-04,1419,True,verified,True,True,False,True,True,upi,76,0.942,0.008,0.0072,0.2154,4.52,0.0351,85.61,7.71,192,244.52,0.2168,False,False,False,,
33746b8c-3191-4deb-8816-153e5dd6d274,Sanjay Joshi,+918673848081,bangalore,blr_hebbal,two_wheeler,2026-03-12,42,True,unverified,True,True,False,False,True,upi,35,0.9062,0.0438,0.0024,0.2048,4.6,0.0532,113.45,8.38,104,3677.99,0.4419,False,False,True,,
07a70457-fe8a-4bda-aab1-b3844018ba41,Naveen Shah,+917277900283,bangalore,blr_btm,two_wheeler,2023-07-22,1006,True,pending,True,True,True,True,True,upi,67,0.9298,0.0202,0.0043,0.2184,3.95,0.013,73.84,9.75,2480,7134.43,0.2534,False,False,False,,
d80a1047-b7a8-4e98-ac6d-9d1efc420ce3,Selvam Rao,+919312397535,bangalore,blr_hebbal,mini_truck,2025-07-12,285,True,verified,True,True,False,True,True,cash,51,0.9368,0.0132,0.0004,0.2133,4.47,0.0599,434.99,21.24,500,17565.38,0.142,False,False,False,,
27544436-85b8-4116-ab34-450c7a43850e,Praveen Garg,+918944924817,bangalore,blr_indiranagar,two_wheeler,2021-11-08,1627,True,verified,True,True,True,True,True,upi,74,0.838,0.112,0.034,0.394,3.47,0.058,87.19,10.55,4100,5453.93,0.4494,False,False,False,,
ae48e2b8-cdec-4e76-b8ec-ddd47e72bf96,Abdul Kumar,+918894664837,bangalore,blr_yeshwanthpur,two_wheeler,2024-02-27,786,True,pending,True,True,False,True,True,upi,65,0.9475,0.0025,0.0011,0.2652,3.98,0.0216,142.09,12.75,2087,5746.82,0.2644,False,False,False,,
83b46b12-d376-4362-9313-ed6a10e8fa41,Mohan Pillai,+916121248423,bangalore,blr_jayanagar,two_wheeler,2020-07-16,2107,True,pending,True,True,False,True,True,upi,67,0.9499,0.0001,0.0058,0.1791,4.38,0.0515,56.79,2.85,1198,1402.74,0.2527,False,False,False,,
c2f65ff2-391a-46cd-aa47-13a6b5762544,Babu Dubey,+917848917380,bangalore,blr_marathahalli,truck_14ft,2021-03-02,1878,True,verified,True,True,False,True,True,upi,69,0.9492,0.0008,0.0036,0.2443,4.09,0.036,857.72,9.63,5371,52544.26,0.1494,False,False,False,,
f1260035-5ba5-46a2-be2c-a5bff5b93951,Umesh Murthy,+916509909757,bangalore,blr_marathahalli,mini_truck,2023-06-07,1051,True,verified,True,True,True,True,True,upi,75,0.9349,0.0151,0.0008,0.1896,3.93,0.0232,320.28,8.1,2746,13978.28,0.1951,False,False,False,,
eb5ac4dd-e2d4-430f-b51a-be349d35cae7,Murugan Reddy,+916115573201,bangalore,blr_hsr,mini_truck,2020-10-05,2026,True,verified,True,True,True,True,True,cash,70,0.8191,0.1309,0.01,0.3898,3.42,0.0737,361.28,14.5,4227,19403.25,0.2905,False,False,False,,
e2409ae0-5754-4567-b59f-5709ab1c95c2,Karthi Shetty,+916779719747,bangalore,blr_btm,mini_truck,2023-04-30,1089,True,verified,True,True,False,True,True,upi,58,0.9136,0.0364,0.0024,0.2723,4.98,0.0177,298.82,8.6,2596,15973.14,0.0541,False,False,False,,
eff1b041-8f60-43be-b8cc-bfb394b58dcf,Kiran Pandey,+919517473136,bangalore,blr_rajajinagar,mini_truck,2022-02-17,1526,True,verified,True,True,False,True,True,cash,71,0.9473,0.0027,0.0014,0.2455,4.63,0.0035,498.93,17.92,1553,7852.66,0.2426,False,False,False,,
d0132bfa-dc26-445a-a8b6-b5fcd80df633,Girish Bhat,+918275705079,bangalore,blr_marathahalli,three_wheeler,2023-01-03,1206,True,pending,True,False,False,True,True,cash,88,0.9331,0.0169,0.0037,0.0662,4.53,0.0893,256.68,17.96,2796,10804.18,0.0441,False,False,True,,
7ea0d28b-5422-40e4-aa81-aef002786f76,Vijay Mehta,+918618130407,bangalore,blr_hebbal,two_wheeler,2025-01-03,475,True,verified,True,True,False,True,True,upi,92,0.9476,0.0024,0.0001,0.1925,4.21,0.0645,83.01,9.38,1436,5666.9,0.3012,False,False,False,,
0f173675-f854-4f31-8142-2d13f3aefce8,Umesh Agarwal,+916634592202,bangalore,blr_hsr,three_wheeler,2020-09-12,2049,True,verified,True,True,False,True,True,bank,82,0.9,0.05,0.01,0.3901,3.0,0.1139,234.63,15.49,3258,4477.45,0.4209,False,False,False,,
7b77232b-9a57-4961-b3b1-4ce696011dc8,Santosh Yadav,+916225724558,bangalore,blr_hsr,truck_14ft,2021-01-06,1933,True,unverified,True,False,False,False,True,cash,47,0.4597,0.4903,0.05,0.3541,2.65,0.2574,1013.43,23.84,6172,67479.74,0.2798,False,False,True,,
53a25fbe-df6c-4345-b594-eb3a8fda553d,Karthi Gupta,+916952173887,bangalore,blr_koramangala,two_wheeler,2024-07-31,631,True,verified,True,True,False,True,True,cash,89,0.9497,0.0003,0.0023,0.183,4.37,0.0032,57.73,3.79,1281,4623.21,0.2365,False,False,False,,
e6161640-6240-4d54-9134-9dcde037bc16,Ajay Patel,+916225808831,bangalore,blr_yeshwanthpur,two_wheeler,2022-02-23,1520,True,verified,True,True,True,True,True,upi,54,0.9234,0.0266,0.0029,0.1817,4.22,0.0145,59.19,3.24,4463,6847.56,0.2544,False,False,False,,
fafe489b-1c5b-4ef8-bd51-86e3982d0aee,Paresh Ansari,+917984793425,bangalore,blr_koramangala,two_wheeler,2020-05-22,2162,True,verified,True,True,True,True,True,upi,55,0.9471,0.0029,0.004,0.1886,4.29,0.0153,96.62,8.45,3098,2461.11,0.1199,False,False,False,,
ef975cf6-eb74-4db8-b860-6724723334f9,Kumar Nayak,+919304087738,bangalore,blr_hebbal,two_wheeler,2023-07-26,1002,True,verified,True,True,False,True,True,bank,95,0.9338,0.0162,0.0034,0.2157,4.45,0.0284,158.25,15.0,2972,6128.37,0.2199,False,False,False,,
f3bc4ebb-6a73-4552-8190-a886d607bb24,Umesh Patil,+917574079914,bangalore,blr_whitefield,three_wheeler,2023-08-30,967,True,verified,True,True,False,True,True,upi,47,0.9302,0.0198,0.0001,0.1781,4.32,0.0012,251.19,11.48,3018,12907.24,0.0685,False,False,False,,
017e3040-a6e8-4979-bf68-c744294cab02,Babu Chatterjee,+919905954118,bangalore,blr_marathahalli,two_wheeler,2024-11-10,529,True,verified,True,True,False,True,True,upi,81,0.6431,0.3069,0.0526,0.4342,3.31,0.2223,87.56,7.09,1368,5977.23,0.4778,False,False,False,,solo
541cb209-bbe9-40bd-8fc0-6d8208b16b94,Harish Nair,+917552411391,bangalore,blr_yeshwanthpur,two_wheeler,2021-11-17,1618,True,verified,True,True,False,True,True,upi,52,0.8322,0.1178,0.0228,0.3705,3.67,0.2854,113.65,11.28,4209,5809.72,0.4077,False,False,False,,
e10c3c42-e427-41f3-987a-cb721f7fcc4e,Manoj Mehta,+917390939295,bangalore,blr_hebbal,three_wheeler,2025-04-15,373,True,verified,True,True,False,True,True,cash,72,0.9159,0.0341,0.0009,0.1467,4.04,0.017,253.65,12.97,1112,11829.31,0.1117,False,False,False,,
973497d4-6526-4ad4-96ed-39e39ce0f85d,Senthil Das,+917888640508,bangalore,blr_jayanagar,two_wheeler,2020-07-23,2100,False,verified,True,True,True,True,True,upi,62,0.9224,0.0276,0.0016,0.1509,4.25,0.0257,115.99,9.53,4520,5383.4,0.3146,False,False,False,,
43b7365b-3bcf-46a4-94f3-876d68941825,Suresh Mishra,+918776367603,bangalore,blr_btm,three_wheeler,2024-08-18,613,True,verified,True,True,False,True,True,bank,69,0.9466,0.0034,0.0039,0.1218,3.91,0.1072,151.64,6.58,2135,12872.85,0.1471,False,False,False,,
1b57a5eb-fae5-44fe-a94b-03e22b74ed3d,Ganesh Chatterjee,+918138857702,bangalore,blr_rajajinagar,two_wheeler,2024-05-02,721,True,pending,True,True,False,True,True,upi,73,0.92,0.03,0.0014,0.2129,4.24,0.0373,30.71,1.0,2890,8284.21,0.1618,False,False,False,,
960a942d-35b9-4761-a83f-4e198012e7ab,Sunil Patel,+918485553380,bangalore,blr_jayanagar,mini_truck,2024-08-19,612,True,verified,True,True,True,True,True,upi,61,0.922,0.028,0.0078,0.1635,4.15,0.016,733.33,29.55,2162,30029.1,0.114,False,False,False,,
b7af82f6-4d77-4d68-8636-4e64ff918004,Dinesh Shaikh,+919716693156,bangalore,blr_jayanagar,two_wheeler,2024-01-25,819,True,verified,True,True,False,True,True,upi,127,0.9371,0.0129,0.0006,0.1313,3.83,0.0468,135.84,10.92,2600,8729.39,0.0,True,False,False,,
481299d1-5508-4329-b74c-2df77e4185e3,Rakesh Babu,+919456726684,bangalore,blr_hebbal,two_wheeler,2023-07-22,1006,True,verified,True,True,False,True,True,bank,48,0.937,0.013,0.0018,0.3167,4.74,0.0854,85.82,7.17,3796,8045.49,0.1252,False,False,False,,
a6e6dc1d-51f9-4329-9675-c7e063417c1e,Senthil Pillai,+919153217120,bangalore,blr_whitefield,mini_truck,2020-12-31,1939,True,verified,True,True,False,True,True,cash,91,0.8899,0.0601,0.0029,0.1174,4.17,0.0236,468.66,17.97,3504,11188.33,0.0823,False,False,False,,
3ace9717-233f-4d31-8263-49bbb854ca6c,Santosh Naidu,+916458863944,bangalore,blr_jayanagar,two_wheeler,2025-02-03,444,True,pending,True,True,False,True,True,bank,51,0.9434,0.0066,0.0048,0.0978,4.61,0.0127,116.93,8.97,1063,5395.35,0.2014,False,False,False,,
e8b39c14-a2c9-488a-8863-9d258ee18f7b,Nilesh Siddiqui,+917278081266,bangalore,blr_btm,mini_truck,2026-03-01,53,True,pending,True,True,False,False,False,upi,62,0.949,0.001,0.0018,0.1382,4.17,0.0742,575.68,18.29,94,14665.41,0.3106,False,True,True,,
c28b21c2-5b8c-4f92-9fa1-23611ef1964d,Kishan Singh,+919918325412,bangalore,blr_whitefield,mini_truck,2021-12-21,1584,True,verified,True,True,False,True,True,upi,91,0.9317,0.0183,0.0015,0.1734,3.64,0.0168,649.33,19.39,5125,32787.53,0.3453,False,False,False,,
88f971d1-b752-4414-bdeb-a26af2595b88,Krishan Chatterjee,+916512725349,bangalore,blr_jayanagar,truck_17ft,2021-09-10,1686,True,verified,True,True,False,True,True,bank,74,0.9374,0.0126,0.0002,0.1599,4.62,0.0169,2458.9,40.85,3047,37266.51,0.1316,False,False,False,,
8c995b5f-1772-43d8-961f-2907e838b0a9,Ritesh Pandey,+918570139328,bangalore,blr_marathahalli,mini_truck,2022-06-27,1396,True,verified,True,True,False,True,True,upi,94,0.9238,0.0262,0.0018,0.2575,4.75,0.0295,380.52,9.41,3980,17042.42,0.2136,False,False,False,,
d191f15f-3215-45e1-ad27-7fa02e81e995,Mohammed Pandey,+919589131370,bangalore,blr_jayanagar,three_wheeler,2021-10-16,1650,True,verified,True,True,True,True,True,bank,54,0.9381,0.0119,0.0029,0.2137,4.05,0.0887,289.65,16.48,1598,4719.13,0.3206,False,False,False,,
85d2c70c-befc-4c16-b4f5-a40394e745c1,Rakesh Bansal,+916542449300,bangalore,blr_whitefield,mini_truck,2025-01-23,455,True,verified,True,True,False,True,True,upi,99,0.938,0.012,0.0038,0.143,4.1,0.0937,590.32,26.26,1122,20361.28,0.0972,False,False,False,,
fc53bebd-991f-420c-b777-1ba000b8b730,Girish Shukla,+916249279426,bangalore,blr_jayanagar,mini_truck,2020-07-16,2107,True,unverified,True,True,False,True,True,upi,80,0.9056,0.0444,0.0021,0.1354,4.29,0.0269,323.05,8.94,4681,14270.42,0.1059,False,False,False,,
a14947dd-ac77-4802-adae-43ce07214ec3,Karthi Kumar,+918278021887,bangalore,blr_indiranagar,two_wheeler,2022-02-03,1540,True,verified,True,True,True,True,True,upi,90,0.9202,0.0298,0.0013,0.1671,4.69,0.0131,110.22,9.73,4334,5500.05,0.1944,False,False,False,,
6865d442-b732-4479-a58b-54cb0a93816b,Ibrahim Kulkarni,+917179794485,bangalore,blr_koramangala,mini_truck,2024-12-07,502,False,verified,True,True,False,True,True,bank,52,0.9468,0.0032,0.0003,0.1895,4.69,0.0047,595.52,14.81,747,9984.41,0.1864,False,False,False,,
b11eaa86-c723-4453-b618-dc387cba9209,Ramesh Dubey,+917580580926,bangalore,blr_electronic_city,mini_truck,2024-12-04,505,True,verified,True,True,False,True,True,upi,78,0.9244,0.0256,0.0003,0.1587,3.81,0.053,658.71,21.25,981,12090.21,0.1445,False,False,False,,
edd75ecc-9fb1-408f-a5b5-c7a661d55f1d,Dinesh Jain,+918216429802,bangalore,blr_hsr,three_wheeler,2023-06-04,1054,True,pending,True,True,False,True,True,upi,55,0.9449,0.0051,0.0006,0.1806,4.28,0.0123,210.11,8.36,3204,13889.71,0.1287,False,False,False,,
551d004b-8d2b-47c1-8634-efb7ac229119,Pavan Pandey,+916469397325,bangalore,blr_whitefield,three_wheeler,2025-10-18,187,True,verified,True,True,False,True,True,upi,85,0.9413,0.0087,0.0021,0.101,4.53,0.0863,151.98,5.98,450,12938.85,0.0168,False,False,False,,
846516d8-74da-4a01-8b9c-e1a7c01fc711,Vinod Raju,+917283611831,bangalore,blr_jayanagar,three_wheeler,2023-10-25,911,True,unverified,True,False,False,True,True,upi,41,0.8576,0.0924,0.0343,0.5168,3.9,0.1143,215.44,13.68,4507,17443.59,0.1255,False,False,True,,
15568edb-af04-4e59-8ccc-5d441fe804d7,Babu Shaikh,+919764013418,bangalore,blr_koramangala,two_wheeler,2023-01-10,1199,True,verified,True,True,False,True,True,upi,69,0.9334,0.0166,0.0067,0.2076,4.34,0.0308,67.94,5.68,1836,3880.86,0.2069,False,False,False,,
